"tags","article_url","sender","timestamp","instance_id","subject","id","top_sentence_"
"['military president' 'trump signs actions' 'foreign terrorists..' 'action' 'radical' 'wsj news alert trump signs actions' 'white house officials' 'country from' 'terrorists' 'one' 'military equipment' 'islamic' 'vetting' 'donald trump' 'executive actions' 'new vetting system' 'u.s.' 'immigration']","http://www.wsj.com/articles/trump-is-signing-executive-orders-on-military-rebuilding-immigration-vetting-1485554165","WSJ.com","2017-01-27T17:25:51-05:00","","WSJ NEWS ALERT: Trump Signs Actions on Immigration Vetting Military","588bc8f1cd4d74365f000003","Trump Signs Actions on Immigration Vetting Military President Donald Trump signed two executive actions one that he said would keep radical Islamic terrorists out of the U.S. and one on military equipment."
"['city' 'mosque shooting leaves multiple' 'release' 'hospital' 'night' 'city police' 'information' 'city mosque' 'arrests' 'quebec' 'wsj news alert quebec' 'victims' 'dead' 'multiple lives']","http://www.wsj.com/articles/quebec-city-mosque-shooting-leaves-multiple-people-dead-1485746334","WSJ.com","2017-01-29T22:41:34-05:00","","WSJ NEWS ALERT: Quebec City Mosque Shooting Leaves Multiple People Dead","588eb5fccd4d742249000015","Quebec City Mosque Shooting Leaves Multiple People Dead A shooting at a Quebec City mosque has claimed multiple lives and sent other victims to the hospital Quebec City police said Sunday night."
"['majority' 'confrontation' 'countries--a' 'house' 'republican white' 'likely lead' 'immigration' 'boss' 'holdover appointee' 'intense albeit' 'obama' 'sally yates' 'attorney' 'trump' donald trump's 'justice department' 'administration' 'orders' 'attorney general' 'decision' 'loretta lynch' 'executive order' 'seven' 'provoke' 'showdown' defend trump's travel ban 'head' 'muslim' 'justice department lawyers']","https://www.wsj.com/","WSJ.com","2017-01-30T18:52:49-05:00","","WSJ NEWS ALERT: Acting Attorney General Orders Justice Department Not to Defend Trump's Travel Ban","588fd1d5cd4d744f1200000b","Acting Attorney General Orders Justice Department Not to Defend Trump's Travel Ban The acting attorney general on Monday ordered Justice Department lawyers not to defend President Donald Trump's executive order suspending immigration from seven majority Muslim countries--a remarkable move that will likely lead to a showdown between the incoming Republican White House and the holdover appointee from the Obama administration."
"['security official' 'restricts entry' 'executive order' 'refugees have' 'department' 'u.s.' 'government' '872' 'agencies' 'certain countries' 'partnership' 'refugees' 'order' 'transit' 'signed' 'nations' 'enter u.s.' 'homeland' 'official said' 'subject']","https://www.wsj.com/","WSJ.com","2017-01-30T20:17:29-05:00","","WSJ NEWS ALERT: Some Refugees Have Until Thursday to Enter U.S.","588fe5b1cd4d744f12000015","Refugees already in transit from nations not subject to an executive order that restricts entry from certain countries will be admitted into the U.S. through Thursday according to agencies charged with receiving them in partnership with the government."
"['sally yates' 'personnel' 'justice department attorneys' 'immigration' 'donald trump' 'ms. yates' 'department' 'countries' 'justice' 'citizens' 'seven' 'executive order' 'person' 'court' 'states..' 'white house' 'attorney' 'statement' 'letter' 'legal order' 'matter']","https://www.wsj.com/","WSJ.com","2017-01-30T21:53:24-05:00","","WSJ NEWS ALERT: White House Fires Acting Attorney General Sally Yates","588ffc2bcd4d744f12000023","White House Fires Acting Attorney General Sally Yates The White House on Monday fired Acting Attorney General Sally Yates after she instructed Justice Department attorneys not to defend in court an executive order signed by President Donald Trump suspending immigration from seven countries."
"['78.2 million' 'revenue' 'record revenue' 'profitability' 'iphone' 'new model' 'apple' 'total iphone shipments 5' 'sales' 'accounts' 'three' bolster apple's 'phone' 'consecutive quarters' '78.35 billion.' apple's 'demand' 'wsj news alert iphone' 'months' 'two-thirds' 'margins' 'pressure' 'new device' 'record' 'boost revenue 3.3' '7' 'declines']","https://www.wsj.com/articles/iphone-sales-bolster-apples-revenue-1485898217","WSJ.com","2017-01-31T16:56:23-05:00","","WSJ NEWS ALERT: IPhone Sales Bolster Apple's Revenue","5891081dcd4d74103b000001","IPhone Sales Bolster Apple's Revenue Apple said demand for its iPhone 7 helped deliver record revenue ending three consecutive quarters of declines but the new device failed to lift profitability as margins came under pressure."
"['trump taps' 'appeals' 'neil gorsuch' 'judge least' 'areas' 'supreme court president' 'federal appeals judge' 'antonin scalia' 'courts' 'late justice' 'judge' 'seat' 'pedigree' 'wsj news alert trump taps' 'circuit court' 'intrude' 'often judges judge' 'illustrious' '2006' 'opinion' 'judges' 'supreme court' 'gorsuch' 'denver-based' 'court' 'role' 'u.s.' 'donald trump' 'legislature']","https://www.wsj.com/articles/donald-trump-taps-judge-neil-gorsuch-for-supreme-court-1485911116","WSJ.com","2017-01-31T20:21:21-05:00","","WSJ NEWS ALERT: Trump Taps Appeals Judge Neil Gorsuch for the Supreme Court","5891382ccd4d7417ef00000a","Trump Taps Appeals Judge Neil Gorsuch for the Supreme Court President Donald Trump nominated federal appeals Judge Neil Gorsuch to the U.S. Supreme Court tapping a reliable conservative to fill the seat of the late Justice Antonin Scalia."
"['ban ki-moon' 'clear candidate' 'pursue' 'geun-hye' 'korea' 'presidential race' 'presidency' 'ruling conservatives' 'drops' 'chief' 'u.n.' 'secretary-general' 'president park' 'korean']","https://www.wsj.com/","WSJ.com","2017-02-01T02:17:17-05:00","","WSJ NEWS ALERT: Former U.N. Chief Drops Out of South Korean Presidential Race","58918b90cd4d741946000004","Former U.N. Chief Drops Out of South Korean Presidential Race Former U.N. Secretary-General Ban Ki-moon abruptly dropped his plans to pursue the presidency of South Korea leaving the country's ruling conservatives without a clear candidate to replace impeached President Park Geun-hye."
"['independence' 'ability' 'full senate floor' 'white house' 'sally yates' 'vote' 'nomination' 'senate committee' 'jeff sessions attorney-general nominee cleared' 'party lines' 'executive order' 'justice department lawyers' 'immigration' alabama republican's '48' 'senate' 'contentious panel meeting' 'donald trump' 'attorney general' 'contentious hearing' 'jeff sessions' 'house' 'wsj news alert jeff sessions attorney-general nominee cleared' 'tumultuous']","https://www.wsj.com/","WSJ.com","2017-02-01T12:25:43-05:00","","WSJ NEWS ALERT: Jeff Sessions Attorney-General Nominee Cleared for Senate Vote After Contentious Panel Meeting","58921a2fcd4d741946000012","Jeff Sessions Attorney-General Nominee Cleared for Senate Vote After Contentious Panel Meeting A Senate committee voted along party lines to send the nomination of Sen. Jeff Sessions as attorney general to the full Senate floor after a contentious hearing in which Democrats questioned the Alabama Republican's ability to show independence from the White House."
"['track' 'increase' 'might' 'federal reserve' 'hint' 'fed leaves rates unchanged offers' 'wsj news alert fed leaves rates unchanged offers' 'move' 'short-term interest rates']","https://www.wsj.com/","WSJ.com","2017-02-01T14:14:09-05:00","","WSJ NEWS ALERT: Fed Leaves Rates Unchanged Offers No Hint on When It Might Next Move","58923384cd4d74393d000003","Fed Leaves Rates Unchanged Offers No Hint on When It Might Next Move The Federal Reserve said it remains on track to gradually raise short-term interest rates this year and gave no hint about when the next increase might come."
"['decision' 'following' 'leaves rates unchanged' 'hint' 'track' central bank's 'fed' 'federal reserve' 'email' 'increase' 'short-term interest rates' 'email alert' 'rates' 'correction']","https://www.wsj.com/","WSJ.com","2017-02-01T14:59:53-05:00","","WSJ NEWS ALERT: Correction to 'Fed Leaves Rates Unchanged'","58923e4dcd4d74393d00000d","Correction to 'Fed Leaves Rates Unchanged' An earlier email alert about the central bank's rate decision Wednesday incorrectly said that the Fed had lifted rates last month when it should have said in December."
"['democratic opposition' 'john mccain' 'senate' 'complex set' 'immigration initiative' 'rex tillerson wins' 'u.s.' 'marco rubio' 'vote' 'state department' 'career officials mount' 'republicans' 'exxon mobil ceo rex tillerson' 'florida' 'skeptical' 'faces' 'foreign-policy challenges' 'arizona' donald trump's 'sens' 'mr. tillerson' 'confirmation' 'secretary' '56-43' 'wsj news alert rex tillerson wins']","https://www.wsj.com/","WSJ.com","2017-02-01T15:19:04-05:00","","WSJ NEWS ALERT: Rex Tillerson Wins Senate Confirmation to Be Secretary of State","589242bfcd4d74393d000016","Rex Tillerson Wins Senate Confirmation to Be Secretary of State The Senate confirmed former Exxon Mobil CEO Rex Tillerson to be secretary of state sending him to the State Department as career officials mount a formal protest against President Donald Trump's immigration initiative and as the U.S. faces a complex set of foreign-policy challenges."
"['business' 'jumps' 'four' '51' social-media giant's growth 'mobile advertising' 'wsj news alert facebook' '1.56' 'mobile advertising facebook' 'profit leapt' 'strength' 'still-vibrant' 'quarterly' 'analysts' 'quarter' '3.57' 'revenue' 'thomson reuters' 'company' 'facebook' 'billion' 'year earlier' '8.81 billion.' '8.51 billion']","https://www.wsj.com/articles/facebook-revenue-jumps-again-1485983393","WSJ.com","2017-02-01T16:28:08-05:00","","WSJ NEWS ALERT: Facebook Revenue Jumps Again on Strength of Mobile Advertising","589252eccd4d744085000003","Facebook Revenue Jumps Again on Strength of Mobile Advertising Facebook revenue jumped 51% in the fourth quarter reflecting the still-vibrant mobile advertising business which has driven the social-media giant's growth over the last four years."
"['45.5' 'short' 'streak' '42' '55 rise' 'banner holiday season' 'online retailer' 'sales' '482 million' 'shares' 'quarter profits' 'amazon.com' 'profitability' '1' wsj news alert amazon's 'analyst expectations' analysts' expectations 'fourth-quarter profit turning' 'share' 'growth' '749 million' '43.74 billion' amazon's 'year earlier' 'profit jumps' 'falls' 'total sales' 'billion' '55' '44.68 billion.' 'after-hours' '1.54' '35.75 billion']","https://www.wsj.com/articles/amazons-profit-jumps-but-sales-growth-disappoints-1486070027","WSJ.com","2017-02-02T16:30:45-05:00","","WSJ NEWS ALERT: Amazon's Sales Growth Falls Short of Analyst Expectations but Profit Jumps 55%","5893a513cd4d7466ce00000a","Amazon's Sales Growth Falls Short of Analyst Expectations but Profit Jumps 55% Amazon.com posted a 55% rise in fourth-quarter profit turning its banner holiday season into a sustained streak of profitability."
"['track' 'u.s.-listed' 'billion' 'offering' 'group' 'matter' 'ipo debut' '168' 'debut' 'app' 'ipo' 'highest-profile stock' 'maker' 'valuation' 'snapchat parent files' 'technology' '20' 'holding' 'be biggest u.s. tech listing' 'company' 'alibaba' 'initial public offering' 'value' 'wsj news alert snapchat parent files' '2014' '25 billion people' 'snapchat' 'chinese e-commerce company' 'one' 'snap' 'poised' 'recent years']","https://www.wsj.com/articles/snapchat-parent-snap-inc-files-for-ipo-1486071371","WSJ.com","2017-02-02T16:46:51-05:00","","WSJ NEWS ALERT: Snapchat Parent Files for IPO; Debut Is Poised to Be Biggest U.S. Tech Listing Since 2014","5893a8cdcd4d7466ce00000c","Snapchat Parent Files for IPO; Debut Is Poised to Be Biggest U.S. Tech Listing Since 2014 Snap Inc. publicly disclosed plans for an initial public offering putting the maker of popular messaging app Snapchat on track for one of the highest-profile stock debuts in recent years."
"['u.s.' 'tehran' 'iranian' 'terrorism' 'recent ballistic missile tests' 'militant groups' 'move' 'tensions' 'missile development' 'wsj news alert trump' 'role' 'deliberations' 'escalate' 'iraq' 'iran entities' 'support' 'fresh sanctions' 'sanctions' 'announcement' 'entities' 'dozens' 'iran' 'syria yemen' 'impose' 'trump' 'administration' 'on notice']","https://www.wsj.com/articles/trump-administration-set-to-impose-new-sanctions-on-iran-entities-as-soon-as-friday-1486071696","WSJ.com","2017-02-02T16:58:10-05:00","","WSJ NEWS ALERT: Trump Administration Set to Impose New Sanctions on Iran Entities as Soon as Friday","5893ab75cd4d7466ce00000f","Trump Administration Set to Impose New Sanctions on Iran Entities as Soon as Friday The Trump administration is set to impose fresh sanctions on dozens of Iranian entities for their alleged role in missile development and terrorism in a move likely to escalate U.S. tensions with Tehran according to people involved in the deliberations."
"['groups' 'advocacy' 'conservative christian voters' 'gays' trump's 'public life' 'protections' 'wsj news alert draft' 'role' 'employees' 'executive order' 'contraception coverage' 'campaign' 'religious beliefs' 'draft' 'individuals organizations' 'denial' 'legal protections' 'expand' 'religion' 'desk' 'intent' 'employers' 'services' 'broad statement' 'allow denial' 'transgender people' 'draft order' 'grounds']","https://www.wsj.com/articles/draft-of-executive-order-proposes-expanding-legal-protections-on-religious-grounds-1486071114","WSJ.com","2017-02-02T17:10:32-05:00","","WSJ NEWS ALERT: Draft of Executive Order Would Expand Religious Protections; Could Allow Denial of Services to Gays","5893ae76cd4d7466ce000013","Draft of Executive Order Would Expand Religious Protections; Could Allow Denial of Services to Gays A draft of an executive order would expand the legal protections for individuals organizations and employers on the grounds of their religious beliefs potentially allowing the denial of services to gay and transgender people and contraception coverage for employees."
"['business council' 'app' 'celebrities' 'administration' 'supports' donald trump's 'firm' 'memo' 'policies' 'economic-advisory council' 'wsj news alert uber ceo travis kalanick leaves' 'uber ceo travis kalanick leaves' 'smartphones' 'delete' 'criticism' uber's 'endorsement' 'social media' 'travis kalanick' 'perceptions' 'uber' 'participation' 'staff' 'chief executive' 'misunderstood' 'trump' 'announcement' 'others']","https://www.wsj.com/articles/uber-technologies-ceo-travis-kalanick-leaves-presidents-business-council-1486073997","WSJ.com","2017-02-02T17:44:30-05:00","","WSJ NEWS ALERT: Uber CEO Travis Kalanick Leaves President's Business Council","5893b663cd4d7466ce000017","The announcement in a memo to Uber staff Thursday follows criticism of the ride-hailing firm over perceptions that it supports the Trump administration with some celebrities and others using social media to call for people to delete Uber's app from their smartphones."
"['effect' 'rule' 'upend' 'place' 'executive action' 'regulatory system' 'critics' 'mr. trump' 'controversial regulation' 'scale' 'dismantle' 'donald trump' 'rule president' 'financial-overhaul law' 'dodd-frank' 'wsj news alert trump plans' 'trump plans' 'undo dodd-frank law fiduciary' 'retirement-account advisory business' '2010' 'financial crisis']","https://www.wsj.com/articles/trump-moves-to-undo-dodd-frank-law-1486101602","WSJ.com","2017-02-03T01:14:59-05:00","","WSJ NEWS ALERT: Trump Plans to Undo Dodd-Frank Law Fiduciary Rule","58941feecd4d7466ce000021","Trump Plans to Undo Dodd-Frank Law Fiduciary Rule President Donald Trump on Friday plans to sign an executive action to scale back the 2010 Dodd-Frank financial-overhaul law in a sweeping plan to dismantle much of the regulatory system put in place after the financial crisis."
"['wsj news alert knife-wielding' 'world-famous museum' 'terrorist attacks' 'machete' paris's louvre 'police officials' 'knife-wielding' 'man' 'shot' 'officials' 'bags' 'museum' 'allahu akbar' 'a man' 'french' 'authorities' 'target' 'mall' 'soldiers' 'paris' 'capital' 'entrance' 'soldier']","https://www.wsj.com/articles/knife-wielding-man-attacks-soldier-near-louvre-museum-in-paris-1486116166","WSJ.com","2017-02-03T06:20:00-05:00","","WSJ NEWS ALERT: Knife-Wielding Man Attacks Soldier in Paris","58946779cd4d742506000009","Knife-Wielding Man Attacks Soldier in Paris A man wielding a machete was shot by authorities and detained near the entrance of Paris's Louvre museum according to police officials unnerving a capital that has been the target of repeated terrorist attacks."
"['earnings' 'workforce' 'average' 'pickup' 'signs' 'increase' '174000' 'jobs' 'u.s.' 'wsj news alert u.s.' 'labor market' '4.7 jobless rate.' 'private-sector workers' '227000' 'share' '4.8' 'expansion' 'work' 'economists' 'wages' 'adds better-than-expected' 'unemployment rate' 'example' 'farms' 'month earlier' '4.7' 'gain' 'room' 'labor department said' 'meanwhile' '0.12' 'jobs u.s.' 'employers' 'thought']","https://www.wsj.com/articles/u-s-added-a-robust-227-000-jobs-in-january-1486128784","WSJ.com","2017-02-03T08:55:39-05:00","","WSJ NEWS ALERT: U.S. Adds Better-Than-Expected 227000 Jobs","58948bf8cd4d742506000014","Adds Better-Than-Expected 227000 Jobs U.S. employers hired briskly in January and more Americans joined the workforce suggesting the labor market still has room to grow after years of expansion."
"['u.s.' 'restive shareholders' 'one' canada hudson's 'takeover people' macy's approached 'bay' 'people said' 'canada' macy's 'possibility' 'matter said' 'department-store chain grapples' 'ways' 'takeover' 'companies' 'cooperate' hudson's 'real estate' wsj news alert macy's approached 'encompass' 'preliminary stage' 'disappointing results']","https://www.wsj.com/articles/saks-owner-hudsons-bay-makes-takeover-approach-to-macys-1486134787","WSJ.com","2017-02-03T10:34:23-05:00","","WSJ NEWS ALERT: Macy's Approached About Takeover by Hudson's Bay of Canada","5894a306cd4d742506000016","Macy's Approached About Takeover by Hudson's Bay of Canada Hudson's Bay of Canada has approached Macy's about a takeover people familiar with the matter said as the biggest U.S. department-store chain grapples with disappointing results and restive shareholders."
"['emirati' 'tehran' 'iranian chinese' 'businesses' 'lebanese' 'business executives' tehran's 'corps' 'treasury department officials' 'revolutionary guard' 'trump' 'early salvo' 'u.s.' 'sanctions' 'defense industries' 'administration' 'wsj news alert trump' 'militia' 'dozen' 'islamic' 'individuals' 'officers' 'military unit' 'hits iran' 'hezbollah' iran's 'ballistic-missile program' 'campaign' 'role' 'elite' 'treasury department']","https://www.wsj.com/articles/trump-administration-sanctions-25-iranian-entities-1486135896","WSJ.com","2017-02-03T11:19:28-05:00","","WSJ NEWS ALERT: Trump Administration Hits Iran With Fresh Sanctions","5894ad97cd4d74250600001f","Trump Administration Hits Iran With Fresh Sanctions The U.S. Treasury Department sanctioned more than two dozen Iranian Chinese and Emirati businesses and individuals for their alleged role in supporting Iran's ballistic-missile program marking an early salvo in the Trump administration's promised campaign to get tough with Tehran."
"['email' 'u.s.' hudson's macy's 'market value' 'approached' '1.8 billion' 'takeover' 'bay' '1.4' 'correction' 'email alert' 'canada' 'disappointing results' 'takeover people' 'billion' 'matter said' '1.8 billion.' 'following' 'restive shareholders' hudson's bay 'department-store chain grapples' 'canadian dollars']","https://www.wsj.com/articles/saks-owner-hudsons-bay-makes-takeover-approach-to-macys-1486134787","WSJ.com","2017-02-03T12:32:39-05:00","","WSJ NEWS ALERT: Correction to 'Macy's Approached About Takeover by Hudson's Bay'","5894bebdcd4d742506000022","Following is the corrected WSJ email alert: Hudson's Bay of Canada has approached Macy's about a takeover people familiar with the matter said as the biggest U.S. department-store chain grapples with disappointing results and restive shareholders."
"['3 trillion' 'wsj news alert trump signs' 'actions toward scaling' 'financial-overhaul law part' 'trump signs' 'effect' 'assets' 'dodd-frank' 'regulation' 'interest' 'establishes' 'dismantle' 'executive action' 'clients' 'controversial regulation' '2010' 'executive' 'framework' 'place' 'mr. trump' 'critics' 'donald trump' 'financial crisis' 'upend' 'regulatory system' 'orders retirement advisers' 'retirement-account advisory business']","https://www.wsj.com/articles/trump-signs-executive-actions-toward-scaling-back-dodd-frank-financial-regulation-1486148274","WSJ.com","2017-02-03T14:24:33-05:00","","WSJ NEWS ALERT: Trump Signs Executive Actions Toward Scaling Back Dodd-Frank","5894d904cd4d744b50000007","Trump Signs Executive Actions Toward Scaling Back Dodd-Frank President Donald Trump signed an executive action that establishes a framework for scaling back the 2010 Dodd-Frank financial-overhaul law part of a sweeping plan to dismantle much of the regulatory system put in place after the financial crisis."
